GCIN,period,n_days,nse,kge,bias_ratio
80,post,3900,0.23138999535506344,0.5696109113869681,1.2028306573604028
80,pre,5950,0.3963653546061242,0.5460830888126128,0.856463944362156
81,post,3674,0.4943645043772741,0.7136564642951913,0.9807322733299925
81,pre,3302,0.052889344265416804,0.5129378848582883,1.243417350817421
82,post,4236,0.07188072896698772,0.5148689282835384,0.9818335493478658
82,pre,4719,0.31879690316651854,0.623378905688015,0.9084757612162192
83,post,2711,-1.1747838978581653,-1.0089073471080474,2.8550461192206384
83,pre,3771,-0.42231983187488376,0.02364088300067202,1.7934249872931287
84,post,546,0.03531708320400695,0.29074667050893876,0.6857704383110362
84,pre,1039,0.044117702289002914,-0.2208683498666093,0.2829830453651793
85,post,1633,-0.103768936480239,0.4819538310534842,1.005372914240973
85,pre,1309,0.03560288734330985,0.4314060109449509,0.7714462062779878
86,post,3576,-0.6788311308397634,0.016526583341268886,1.7318499574866346
86,pre,2014,-0.4722368566766011,0.2786763175802828,1.397607665621876
87,post,3607,0.2344249546699192,0.4121035705134659,0.8520080618209073
87,pre,2819,0.07846370425694138,0.33646002982270995,0.8704419701195999
88,post,3774,0.07701299321297927,0.3655207919857333,1.4828283215310545
88,pre,3265,0.19132446317728802,0.4509039662513856,1.249535616758026
89,post,3739,0.22747568871046198,0.49287681419452556,1.1396021547037414
89,pre,3012,0.09579680276130154,0.4925523678663829,1.1554041562411947
90,post,3561,-0.013724828379890752,0.2852051676808969,1.272770213379571
90,pre,5365,0.314901326960656,0.4646512158907531,0.8477538905785958
91,post,1789,-0.14003613029065942,-0.061343685606775056,0.41093623135940244
91,pre,2113,0.05887457239171556,-0.26479952678526697,0.27266323725698577
92,post,2312,0.25177868571249074,0.18746914111336255,1.2406203070838464
92,pre,2632,0.2634601749575113,0.3616729425562184,0.9668144998762642
93,post,2629,0.25823400397263707,0.18063975505803886,0.8641906194503874
93,pre,2118,0.2464348113743463,0.26027080302968997,0.8971875395134034
94,post,1925,0.02855348714284045,0.38360052256174093,1.4328628805140504
94,pre,2216,0.18214558716632867,0.18334908955315365,1.6403720389097225
95,post,2419,0.20379797647391562,0.0006265800616637174,1.889976591747674
95,pre,1624,0.40161724124695963,0.3851307464986886,1.5539758465403473
96,post,2182,-0.6232839364656364,0.213489277759648,1.2184326971987718
96,pre,1657,0.3150799420721083,0.45992588254312017,1.1153407763223384
97,post,3234,0.5395610492595371,0.44540514038928525,0.7958847791730866
97,pre,2455,0.42462494036332366,0.6372665054471154,0.8698149816969177
98,post,2927,-0.030279455837967317,-0.5217515804132495,0.03650706695470152
98,pre,2172,-0.1399375576881592,-0.10300382093433691,0.15906094171411445
99,post,3043,0.3457061242699241,0.447595003914365,1.451344945247491
99,pre,2638,0.26566719466496946,0.33463823405927684,1.2511977544590063
100,post,2287,0.34308421008300716,0.49455436777582507,1.0767174510678017
100,pre,1496,0.39711787695838974,0.47866705878705484,0.8871189455839973
101,post,3189,0.28692618601847675,0.33964278485629684,1.3039051899961027
101,pre,2613,0.39614606362249016,0.4706168966899007,1.1734085687222484
102,post,2267,0.07798128222415524,-0.1163011984568405,1.9620505070663519
102,pre,1957,0.020072329616972473,-0.10371284049666762,2.023143201401533
103,post,3246,-0.1467773793152254,-0.18624620911203826,2.0716153226740293
103,pre,2467,0.18603621980832075,0.13976504015272195,1.7641824637582144
104,post,3167,0.4616451536687095,0.48714509212572776,0.7221039445350298
104,pre,2570,0.3304297154479361,0.28991661666708346,0.550185715929871
105,post,3487,0.34346506953849654,0.44262734831574313,1.415525416168417
