GCIN,pre_epsilon_mean,pre_qobs_valid_days,pre_n_recession_days_predicted,pre_nse,pre_kge,pre_fold_nse_mean,pre_fold_nse_std,pre_fold_kge_mean,pre_folds_scored,post_epsilon_mean,post_qobs_valid_days,post_n_recession_days_predicted,post_nse,post_kge,post_fold_nse_mean,post_fold_nse_std,post_fold_kge_mean,post_folds_scored,delta_epsilon_mean
12,1.6106374811363278,1045,1045,0.26330095003325515,0.08859632467571121,0.16821653170640158,0.2670071718532949,0.11398741557124814,3,1.6351563116978105,1915,1915,0.3537618246885442,0.2280205941401564,0.28459843157611653,0.13401834819722727,0.15685420038963424,4,0.02451883056148274
13,11.916175975974026,1405,1405,0.5102064350784967,0.7394009401159688,0.513194435648891,0.029420751064035026,0.5338173610294933,3,9.570175687080168,2080,2080,0.46755508431605675,0.20893809741304448,0.4842842134288044,0.23810161286419626,0.274892600575133,4,-2.3460002888938583
14,4.6140967541886075,1221,1221,0.513167339264339,0.6563404442337932,0.4617415517612344,0.32095675417591574,0.4038484452058362,3,1.9593162929635817,2189,2189,0.6620093148346856,0.7645228460226725,0.28737541263277044,0.6385585507283547,0.445483556921406,4,-2.654780461225026
15,2.1962722172783664,3389,3389,0.6281585320259953,0.5343321606713153,0.610434584266966,0.02454297876140093,0.5887966256655086,3,1.896124224480313,3547,3547,0.5112192353337343,0.39102469977351484,0.49408952456933874,0.1387756757929687,0.3553002564595787,4,-0.3001479927980535
16,4.120651978101967,2142,2142,0.4689593978955885,0.4001136274858098,0.12711863482837005,0.5916561821768104,0.2542409297198832,3,2.9275240154389115,2727,2727,0.5176218366751946,0.39291950346098503,0.48982629051326704,0.06663479309581731,0.42298235499968606,4,-1.1931279626630555
17,4.119043034851082,2267,2267,0.791754660401816,0.8058553338469185,0.7453098766023203,0.11453346289204187,0.7698050949815786,3,3.819506169759533,2782,2782,0.6787049558580496,0.5464005479056886,0.6984747176756813,0.05294659940988305,0.5734814967459686,4,-0.2995368650915484
18,0.9439381422345038,2272,2272,0.47797144639961375,0.36529307221135243,0.4770141351235026,0.09636393552798707,0.3748725736446495,3,0.8372810434723309,2908,2908,0.5069750895486893,0.44404416963316184,0.5145160829776491,0.10419221314017005,0.45462401502927735,4,-0.10665709876217289
19,0.43100249071654967,2956,2956,0.7313607542014807,0.6998308885977536,0.6950588087012151,0.08763574976160426,0.7039704118769488,4,0.5356199216685043,2925,2925,0.7493402923888264,0.6664719040503193,0.7557469849319154,0.054478598081406635,0.6387876926705558,4,0.10461743095195458
20,0.05672120284840327,1301,1301,0.5774252024331142,0.7843017796425824,0.5891118283546654,0.08091004842082121,0.6634714236381073,3,0.05339463579721919,2671,2671,0.6281873791531403,0.8091215650900161,0.5808707423601941,0.11616264474838192,0.6502357998257693,4,-0.0033265670511840803
21,10.232354290778265,2174,2174,0.37374113133664855,0.29672679617651887,0.2892424462988574,0.19304000856803807,0.1746170996031103,4,7.966351387404716,2262,2262,0.5229875659757257,0.25348073805486293,0.5575203424768832,0.11378691555817451,0.32088983676201,4,-2.2660029033735487
22,6.100298059093691,2188,2188,0.19944555546959986,0.01428077659330762,-0.49413886396059475,1.2131078012868397,-0.014028904213466364,3,3.8709507767142495,2834,2834,0.3155175715283891,0.15877770072363484,0.3048235437820714,0.1412654677208499,0.11472797744377464,4,-2.229347282379442
23,5.968278905137957,2091,2091,0.04193055939383927,-0.342306908156109,-0.023495201388577042,0.025488598475410858,-0.34683026778466014,3,3.48716456644579,2851,2851,-0.043709863078075006,-0.46231211431737873,-0.198804986915936,0.20231767492113095,-0.24493275737664488,4,-2.481114338692167
24,1.8708707857877016,132,132,0.3803434601924871,0.5014041745421436,-0.2605599602947653,0.7509859638632512,0.165107430690456,3,5.687348299344216,242,242,0.4383246677071446,0.5711303465830156,-0.7626581965841792,1.6720775168796222,-0.01992075144857866,4,3.8164775135565145
25,0.5637075658707968,5158,5158,0.5059223881916823,0.7295207879146542,0.5100828370345083,0.14987525061889426,0.5972118635308821,5,0.42218199632230685,3451,3451,0.5340988280651555,0.6873687304709885,0.45827786675119087,0.05562727489802897,0.5579016037214435,4,-0.14152556954849
26,0.058791234993694944,3368,3368,0.7624012754628781,0.8151880579324859,0.7483326508166342,0.10839707669316218,0.761691022581608,3,0.05178158537373225,4010,4010,0.7454851623426316,0.8289098448432317,0.7272163650583781,0.033941272136430556,0.7685339967575024,4,-0.007009649619962692
27,8.80931804544712,1310,1310,0.350958197937022,0.24780740154994663,-81605.51588632634,141345.57160165734,0.19946368325231612,3,9.073293608023368,1746,1746,0.4327220360289208,0.24442182264121404,0.4042181599357581,0.19494446681631994,0.23075586889703875,4,0.263975562576249
28,0.10185166629533092,6006,6006,0.49271017244456294,0.728830307542877,0.4398573526621088,0.27668096572809503,0.6496924353860987,5,0.09759232162249931,4311,4311,0.616706709567022,0.8018933463404355,0.605464432398898,0.07023655652478865,0.706633207831962,4,-0.004259344672831608
29,0.1390375418433812,3931,3931,0.7121709159355953,0.8393908844807985,0.6837975218126129,0.042962523218255874,0.6898399409622857,4,0.1107628066984516,4193,4193,0.7303277352763726,0.8200169601875273,0.6736360884470285,0.06741530423354855,0.6345772849048197,4,-0.02827473514492962
30,0.05113294535014992,6100,6100,0.7440961364617082,0.8223219092081049,0.7403370002407611,0.08736412732002777,0.7253163948312518,5,0.04748054375594481,4302,4302,0.7946229271475338,0.7543502642724228,0.7770606552284796,0.06470437845024903,0.733716204616097,4,-0.0036524015942051152
31,0.0432140516964406,5391,5391,0.7656744932738276,0.8247832897177704,0.750166739150715,0.07086868860759171,0.7663613693026654,5,0.04068594973083683,3881,3881,0.7419568790170474,0.779777029727041,0.7258381866124584,0.06521329582739005,0.7274337871315133,4,-0.0025281019656037754
32,0.04824259459784304,6368,6368,0.6213130248786064,0.7632466325077235,0.6315623217812762,0.11284330208856558,0.7355294430096541,5,0.04298396179960039,4285,4285,0.7424136411529709,0.8401749517566663,0.7463324742639394,0.05604492150485593,0.8183691872019969,4,-0.005258632798242652
33,0.13186854032080464,2932,2932,0.7591121413481556,0.80731059576556,0.7314205360491876,0.07654215557345904,0.6775465000723003,3,0.11749161073016656,4205,4205,0.7731763071208568,0.8210641799136394,0.7527320314074131,0.08260258734052152,0.7036409265995073,4,-0.014376929590638077
34,0.5991110438233553,3463,3463,0.6908872083646467,0.6688895939087475,0.6994133333771698,0.12373606950351294,0.6834431624347056,3,0.41996584855728364,3863,3863,0.808439759910622,0.8552041644591476,0.7609275715279649,0.08379781135980742,0.7764306240025525,4,-0.1791451952660717
