GCIN,period,n_days,nse,kge,bias_ratio
1302,post,2281,0.3585530857674274,0.35701917897948243,0.7976801953158316
1302,pre,654,0.34204046433666924,0.33138838005016036,0.7506951785451681
1313,post,2511,-0.34818553464251223,0.34157516926040477,1.5045396897926386
1313,pre,813,-0.43659257233220017,0.2879135048918484,1.5731478138546515
1324,post,2117,0.3197424596868985,0.4840654470362562,1.0021548201868888
1324,pre,469,0.5038789877505037,0.6137486586932484,1.0594014774336586
1335,post,2165,0.2643189832000914,0.6029404347505781,1.0898832169288775
1335,pre,805,0.4195043302675041,0.6447518007393832,1.2412308998306145
1346,post,1947,0.5071793084421181,0.7424536490580047,1.1018492020677004
1346,pre,160,0.8194111029081389,0.8040367185157736,1.1422102811162662
1357,post,2823,0.32403954044749417,0.36004874120516817,0.845276309532354
1357,pre,919,0.2183579782238283,0.487832109344725,1.1591278308870254
1368,post,1439,-0.6773635902368738,0.29703256668288747,1.4201381032018665
1368,pre,386,-0.8852311397760495,0.38173534979085444,1.3480973104028318
1379,post,2224,0.312285821618168,0.6310572875421019,1.186228437853199
1379,pre,828,-0.10941458884642041,0.402428475590881,1.3213370138560803
1390,post,1910,-0.4332447428444144,0.24553026757401142,1.669752536642155
1390,pre,647,0.2498824881763111,0.5239950148071428,1.2878959410072028
1401,post,2631,-0.018272505829729724,-0.28573741901162086,0.5402921891478429
1401,pre,1911,-0.04055931967548854,-0.52641445511922,0.24923347217343858
1402,post,1117,0.07947835396506042,0.4366793364684598,1.4027990894035534
1402,pre,700,0.3214662038367113,0.5306690819595457,1.2217845977660922
1413,post,1287,-2.4427666142202247,-0.05072735324456712,1.406684826755594
1413,pre,649,-0.7009279507854143,-0.002858055235700041,1.2942908657923484
1424,post,1852,-1.4089633999473024,0.24686313141334792,1.5090583312275918
1424,pre,608,-0.7387755143628685,0.3797659244154118,1.3837346973731401
1435,post,2349,-0.0888438996898595,0.42749998017706614,1.2500412625699815
1435,pre,935,0.008294785752755218,0.4737477828054134,1.1555686729015895
1446,post,1452,-0.47391585216483434,0.36307114325153356,1.4643474427151062
1446,pre,703,0.017765556864894005,0.5354582867982007,1.3141566239809495
1457,post,2372,-0.6412505502642032,0.3871756291408742,1.391673880246527
1457,pre,538,-0.08381349477697997,0.5170224611409455,1.2299768070380017
1468,post,2856,0.4113893322993627,0.479394396361174,1.1045863868957357
1468,pre,1030,0.4697072575952881,0.5536127205428676,1.0638609038560594
1479,post,1826,0.030862391064467087,0.4390022605620869,1.3811574028502525
1479,pre,524,0.2171695648143518,0.32591679498341597,1.0281051205274963
1490,post,2981,0.42673701117861285,0.6422937893694576,1.2103844596352156
1490,pre,1001,0.4441330481305704,0.6719737609600809,1.1786111523087879
1501,post,2145,0.10908236409276184,0.3561802830589881,1.312004413327836
1501,pre,709,0.2062707601295013,0.4230336634600811,1.1640026761897135
1512,post,225,-0.6445227648668617,-0.11256781340601307,1.756924946066498
1512,pre,138,0.11008275301429304,0.13486460279897472,1.1259656720208677
1513,post,2114,-0.9208309819517926,0.08719651222370717,1.7531721711731874
1513,pre,875,-0.7487248187557523,0.22160852226058814,1.5418088477619165
1524,post,2431,0.15878910445514838,0.4726533988766852,1.3709796553339042
1524,pre,798,0.4782952059783191,0.5770756177246343,1.0833166548147926
1535,post,2455,0.40413744096417226,0.6779247361915721,1.126113620086794
1535,pre,895,0.3120442363625098,0.6650139914618187,1.1432832242355992
1546,post,2615,0.5703893435758329,0.691226736265613,1.2717821141320576
1546,pre,952,0.3842871044406386,0.6149342999526425,1.2710539662005587
1557,post,185,-0.14840529418343928,0.11483370708158536,1.087912786107246
1557,pre,35,0.15915887342629031,0.31413289713049486,1.0871153849851907
1568,post,1162,0.6447195114468416,0.7276653509374864,0.9466477698310309
1568,pre,620,0.5845409019206869,0.7195351584389433,1.1259640640336115
1579,post,2478,0.32998575074329106,0.6277361550856397,1.2645314111948405
1579,pre,460,0.7459810862815965,0.7919341521317007,0.963363708077018
1590,post,2206,0.24907428468262127,0.5276314893038716,1.3823531341492505
1590,pre,805,0.04267477459138691,0.43759282114567066,1.4444094969748353
1601,post,2915,0.3991809820750032,0.4855765711776935,1.4526497827862268
1601,pre,1032,-0.0896902438356566,0.2793952820348302,1.585642969502497
1612,post,1103,0.196899135386714,0.21944182455473404,1.0893533917149942
1612,pre,390,0.2321777677612734,0.31807134409937,1.0585447443342777
1623,post,3407,-0.2642462756663875,0.05755364339633606,1.6499375928373805
1623,pre,5064,0.2179746992646292,0.2529246828561983,1.0298668356432656
1624,post,1341,0.14513415120531992,0.14443357142357316,1.1538400381501737
1624,pre,491,0.1480310602023447,0.08120937132999118,0.7525227939619865
1635,post,815,-9.398874322120456,0.1204111043383076,1.5219839748705066
