pre_epsilon_mean,post_epsilon_mean,delta_epsilon_mean,pre_epsilon_arithmetic_mean,post_epsilon_arithmetic_mean,pre_qobs_valid_days,post_qobs_valid_days,pre_n_recession_days_predicted,post_n_recession_days_predicted,GCIN,fold
0.14611601829528809,0.1430424302816391,-0.003073588013648987,0.03389934450387955,0.03366665914654732,1193,1892,1193,1892,1850,0
0.3046022653579712,0.31939512491226196,0.014792859554290771,0.05878356471657753,0.059344492852687836,1549,1998,1549,1998,1852,0
0.3359552323818207,0.3337812125682831,-0.0021740198135375977,0.06534942984580994,0.06550479680299759,1638,2377,1638,2377,1853,0
0.30746981501579285,0.3030340075492859,-0.004435807466506958,0.05373334884643555,0.05349177494645119,1707,2383,1707,2383,1856,0
0.20271839201450348,0.20570598542690277,0.002987593412399292,0.04303412139415741,0.04313129559159279,1936,2741,1936,2741,1861,0
0.12737491726875305,0.1296861469745636,0.002311229705810547,0.02931423857808113,0.03026737831532955,1610,2375,1610,2375,1867,0
0.1586032658815384,0.1617479771375656,0.0031447112560272217,0.035139989107847214,0.03576487675309181,1828,2586,1828,2586,1870,0
0.2075577825307846,0.21976599097251892,0.012208208441734314,0.0436682254076004,0.04395454749464989,1715,2514,1715,2514,1877,0
0.2428954392671585,0.2632576525211334,0.020362213253974915,0.0481862910091877,0.04998968541622162,1725,2444,1725,2444,1880,0
0.2595336437225342,0.2891662120819092,0.029632568359375,0.05003584548830986,0.05304892361164093,1429,2116,1429,2116,1881,0
0.07174896448850632,0.06972341239452362,-0.0020255520939826965,0.025443915277719498,0.02543981373310089,2644,3680,2644,3680,1885,0
0.09963681548833847,0.0998208224773407,0.00018400698900222778,0.021988363936543465,0.02226302959024906,223,609,223,609,1890,0
0.11936916410923004,0.11456774175167084,-0.004801422357559204,0.032450925558805466,0.03241736441850662,1018,2813,1018,2813,1892,0
0.1556699573993683,0.15354222059249878,-0.002127736806869507,0.042311809957027435,0.041875313967466354,2087,2866,2087,2866,1902,0
0.08652634173631668,0.08674060553312302,0.00021426379680633545,0.03013422340154648,0.03016691654920578,2545,3366,2545,3366,1906,0
0.1418227255344391,0.1424800157546997,0.0006572902202606201,0.0388924703001976,0.03854415565729141,1923,2814,1923,2814,1922,0
0.23198018968105316,0.22058962285518646,-0.0113905668258667,0.03518690913915634,0.03428610786795616,818,2507,818,2507,1957,0
0.36903902888298035,0.3380141258239746,-0.031024903059005737,0.05460205674171448,0.053302668035030365,225,1057,225,1057,1984,0
0.1545477658510208,0.1615714430809021,0.007023677229881287,0.034323446452617645,0.03665437549352646,1126,2226,1126,2226,1996,0
0.1509338766336441,0.15307100117206573,0.002137124538421631,0.031067263334989548,0.030898213386535645,434,1468,434,1468,2001,0
0.5323668718338013,0.47817474603652954,-0.05419212579727173,0.049521706998348236,0.04896412044763565,517,2208,517,2208,2012,0
0.272413045167923,0.24183522164821625,-0.030577823519706726,0.03808947652578354,0.03713025525212288,3863,4097,3863,4097,2067,0
