GCIN,regime,mean_post,mean_pre,median_post,median_pre,std_post,std_pre,q25_post,q25_pre,q75_post,q75_pre,count_post,count_pre,delta_mean,relative_delta_mean
266,low,2.93670916557312,2.7501933574676514,2.3787147998809814,2.3611764907836914,2.0241763591766357,1.9184291362762451,1.3128796815872192,1.1914858520030975,4.110952854156494,3.928965747356415,353.0,76.0,0.18651580810546875,0.06781916173239926
266,mid,2.361004114151001,2.4630277156829834,1.636003851890564,1.6834545135498047,1.921116828918457,2.090660810470581,0.9155202805995941,1.0001918226480484,3.1785736083984375,3.146107017993927,2107.0,1322.0,-0.10202360153198242,-0.04142202740243703
270,high,0.227602019906044,0.17269577085971832,0.19468609988689423,0.1674981415271759,0.14600694179534912,0.13228507339954376,0.1343880295753479,0.07869971543550491,0.2782188057899475,0.21138566732406616,235.0,273.0,0.054906249046325684,0.317936268925348
270,low,0.3576761782169342,0.3632757067680359,0.2830866873264313,0.30563628673553467,0.24042852222919464,0.23284678161144257,0.16637030243873596,0.14488812536001205,0.5742011666297913,0.5799629837274551,369.0,138.0,-0.005599528551101685,-0.015413991210475236
270,mid,0.26380664110183716,0.2801233232021332,0.2083665430545807,0.23074530065059662,0.2086183875799179,0.21084445714950562,0.10845042765140533,0.12619750946760178,0.3548203483223915,0.39404137432575226,2426.0,1624.0,-0.01631668210029602,-0.05824820980194543
276,high,0.9115121960639954,0.668563723564148,1.075310230255127,0.6469452977180481,0.4917100965976715,0.42193037271499634,0.45246484130620956,0.3890528306365013,1.3116145133972168,0.8751751482486725,114.0,146.0,0.2429484724998474,0.36338865531721715
276,low,0.855143666267395,1.0053753852844238,0.7395930886268616,1.0427124500274658,0.41973957419395447,0.4038577973842621,0.5408520698547363,0.6411184966564178,1.2339606285095215,1.3888246417045593,209.0,51.0,-0.1502317190170288,-0.14942848334657385
276,mid,0.7836865782737732,0.8431318402290344,0.7458906769752502,0.7873210906982422,0.44534629583358765,0.4821834862232208,0.47297877818346024,0.4662788510322571,1.1448548436164856,1.2681618332862854,1146.0,927.0,-0.05944526195526123,-0.07050529836367357
281,high,0.14978499710559845,0.12885117530822754,0.1537153571844101,0.12168354541063309,0.06211245805025101,0.053391505032777786,0.09785963222384453,0.09239230304956436,0.18781429901719093,0.15190337598323822,198.0,261.0,0.02093382179737091,0.16246512107704633
281,low,0.17875804007053375,0.17507873475551605,0.14095336198806763,0.16504164040088654,0.10143683850765228,0.09656374901533127,0.09578919410705566,0.10371967405080795,0.23532309755682945,0.20842493325471878,336.0,123.0,0.0036793053150177,0.021015146814692066
